,recipe_name,total_time,servings,ingredients,directions,nutrition
309,Air Fryer Lobster Tails with Lemon-Garlic Butter,20 mins,2,"2 (4 ounce) lobster tails, 4 tablespoons butter, 1 teaspoon lemon zest, 1 clove garlic, grated,   salt and ground black pepper to taste, 1 teaspoon chopped fresh parsley, 2 wedges lemon","Preheat an air fryer to 380 degrees F (195 degrees C).
Butterfly lobster tails by cutting lengthwise through the centers of the hard top shells and meat with kitchen shears. Cut to, but not through, the bottoms of the shells. Spread tail halves apart. Place tails in the air fryer basket with lobster meat facing up.
Melt butter in a small saucepan over medium heat. Add lemon zest and garlic; heat until garlic is fragrant, about 30 seconds.
Transfer 2 tablespoons of butter mixture to a small bowl and brush onto lobster tails; discard any remaining brushed butter to avoid contamination from uncooked lobster. Season lobster with salt and pepper.
Cook in the preheated air fryer until lobster meat is opaque, 5 to 7 minutes.
Spoon reserved butter from the saucepan over lobster meat. Top with parsley and serve with lemon wedges.","Total Fat 26g 33%, Saturated Fat 16g 80%, Cholesterol 129mg 43%, Sodium 590mg 26%, Total Carbohydrate 3g 1%, Dietary Fiber 1g 3%, Total Sugars 0g, Protein 18g, Vitamin C 13mg 65%, Calcium 73mg 6%, Iron 1mg 3%, Potassium 340mg 7%"
310,Baked Fish Fillets,30 mins,6,"1 tablespoon vegetable oil, or to taste, 2 pounds mackerel fillets, 1 teaspoon salt, ⅛ teaspoon ground black pepper, ¼ cup butter, melted, 2 tablespoons lemon juice, ⅛ teaspoon ground paprika","Preheat the oven to 350 degrees F (175 degrees C). Grease a baking pan with vegetable oil.
Place mackerel fillets in the baking pan; season with salt and pepper.
Mix butter, lemon juice, and paprika together in a bowl. Pour over mackerel fillets.
Bake in the preheated oven until fish flakes easily with a fork, 20 to 25 minutes.","Total Fat 31g 40%, Saturated Fat 10g 51%, Cholesterol 109mg 36%, Sodium 540mg 23%, Total Carbohydrate 1g 0%, Total Sugars 0g, Protein 28g, Vitamin C 3mg 14%, Calcium 21mg 2%, Iron 2mg 11%, Potassium 484mg 10%"
311,Vietnamese Grilled Lemongrass Chicken,40 mins,4,"2 tablespoons canola oil, 2 tablespoons finely chopped lemongrass, 1 tablespoon lemon juice, 2 teaspoons soy sauce, 2 teaspoons light brown sugar, 2 teaspoons minced garlic, 1 teaspoon fish sauce, 1 ½ pounds chicken thighs, or more to taste, pounded to an even thickness","Mix together canola oil, lemongrass, lemon juice, soy sauce, brown sugar, garlic, and fish sauce in a glass bowl until sugar is dissolved; add chicken and turn to coat in marinade.
Marinate chicken in the refrigerator for 20 minutes to 1 hour.
Preheat grill for medium heat and lightly oil the grate.
Remove chicken thighs from marinade; shake to remove excess. Discard remaining marinade.
Cook chicken on the preheated grill until no longer pink in the center and juices run clear, 3 to 5 minutes per side. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).











Allrecipes
","Total Fat 19g 24%, Saturated Fat 4g 19%, Cholesterol 105mg 35%, Sodium 339mg 15%, Total Carbohydrate 4g 1%, Dietary Fiber 0g 0%, Total Sugars 2g, Protein 29g, Vitamin C 2mg 11%, Calcium 21mg 2%, Iron 2mg 9%, Potassium 303mg 6%"
312,Orange Crush! Fresh Squeezed Orange and Vodka Cocktail,10 mins,1,"2 cups ice cubes, or as needed, 2 fluid ounces orange-flavored vodka, 1 fluid ounce triple sec liqueur, 2  Valencia oranges, juiced, 1 splash lemon-lime soda (such as Sprite®), 1 slice orange ","Fill a pint glass with ice cubes. Pour in orange-flavored vodka, triple sec, and orange juice, then top with lemon-lime soda. Mix well and garnish with orange slice.









","Total Fat 0g 1%, Saturated Fat 0g 1%, Sodium 7mg 0%, Total Carbohydrate 35g 13%, Dietary Fiber 1g 3%, Total Sugars 27g, Protein 1g, Vitamin C 90mg 451%, Calcium 24mg 2%, Iron 0mg 2%, Potassium 361mg 8%"
315,"Warm Lemon, Honey, and Ginger Soother",10 mins,4,"¼ cup honey, or to taste, 1  lemon, juiced, 1 tablespoon finely grated ginger root, ¼ teaspoon ground cinnamon, 3 ½ cups boiling water","Place honey, lemon juice, ginger, and cinnamon in a teapot or 4-cup glass measuring beaker with spout. Pour boiling water over mixture; stir until honey is dissolved.
Cover the teapot and let steep for 5 minutes. The ginger should sink to the bottom but may be strained while pouring into a mug.","Total Fat 0g 0%, Sodium 8mg 0%, Total Carbohydrate 21g 8%, Dietary Fiber 2g 5%, Total Sugars 17g, Protein 0g, Vitamin C 22mg 109%, Calcium 26mg 2%, Iron 0mg 2%, Potassium 60mg 1%"
317,Baked Salmon in Foil,40 mins,6,"½ cup olive oil, 5 cloves cloves garlic, minced or pressed through a garlic press, 2 ½ tablespoons fresh lemon juice, or more to taste, 1 tablespoon brown sugar, 1 teaspoon dried oregano, 1 teaspoon dried thyme,   salt and freshly ground black pepper to taste,   aluminum foil, 1 teaspoon olive oil, 1 (3 pound) salmon fillet, ¼ cup chopped fresh parsley, 1  lemon, sliced","Preheat the oven to 375 degrees F (190 degrees C).
Combine 1/2 cup olive oil, garlic, lemon juice, brown sugar, oregano, thyme, salt, and pepper in a bowl.
Place a large piece of aluminum foil on a baking sheet and brush with 1 teaspoon olive oil. Place salmon, skin-side down, in the middle of the foil. Drizzle with olive oil mixture. Fold up the edges of the foil over salmon to create a packet, making sure to seal the edges.
Bake in the preheated oven until fish flakes easily with a fork, 20 to 25 minutes. Garnish with fresh parsley and lemon slices.","Total Fat 26g 34%, Saturated Fat 5g 23%, Cholesterol 96mg 32%, Sodium 131mg 6%, Total Carbohydrate 6g 2%, Dietary Fiber 1g 4%, Total Sugars 2g, Protein 42g, Vitamin C 24mg 121%, Calcium 109mg 8%, Iron 2mg 11%, Potassium 827mg 18%"
320,Fresh Orange Juice,5 mins,3,4  oranges,Lightly smack each orange on the counter. Cut each orange in half and squeeze juice into a glass.,"Total Fat 0g 0%, Sodium 1mg 0%, Total Carbohydrate 12g 4%, Dietary Fiber 0g 1%, Total Sugars 9g, Protein 1g, Vitamin C 55mg 276%, Calcium 12mg 1%, Iron 0mg 1%, Potassium 220mg 5%"
322,Simple Lemon Cake,45 mins,10,"1 cup white sugar, ½ cup butter, 2 large eggs, 2 teaspoons vanilla extract, 1 ½ cups all-purpose flour, 1 ¾ teaspoons baking powder, ¾ cup milk, 1 tablespoon lemon zest, 1 tablespoon lemon juice","Preheat the oven to 350 degrees F (175 degrees C). Grease a 9-inch square baking pan.
Beat sugar and butter together in a mixing bowl using an electric mixer until light and fluffy. Beat in eggs and vanilla extract until well combined.
Sift flour and baking powder together in a separate bowl; add to creamed mixture until incorporated. Pour in milk, lemon zest, and lemon juice; mix until smooth. Spoon batter into the prepared pan.
Bake in the preheated oven until a toothpick inserted into the center comes out clean, about 35 minutes.","Total Fat 11g 14%, Saturated Fat 6g 32%, Cholesterol 63mg 21%, Sodium 173mg 8%, Total Carbohydrate 36g 13%, Dietary Fiber 1g 2%, Total Sugars 21g, Protein 4g, Vitamin C 2mg 8%, Calcium 81mg 6%, Iron 1mg 7%, Potassium 68mg 1%"
324,Lemon Cookies from Scratch,1 hrs,20,"1 cup white sugar, ½ cup butter, softened, 2 tablespoons fresh lemon zest, 2  eggs, 1 tablespoon fresh lemon juice, ½ teaspoon vanilla extract, 1 ¾ cups all-purpose flour, 1 ½ teaspoons baking powder, ¼ teaspoon salt, ¼ cup powdered sugar","Cream sugar, butter, and lemon zest together in a large bowl using an electric mixer until light and fluffy, about 3 minutes.
Combine eggs, lemon juice, and vanilla extract in a cup; mix using a fork until combined. Beat into egg mixture slowly on low speed.
Whisk flour, baking powder, and salt together in a medium bowl. Add to egg mixture slowly on low speed until just combined. Do not overbeat; dough will be sticky. Cover and chill dough in the refrigerator for 30 minutes; it will still be sticky after chilling.
Preheat the oven to 350 degrees F (175 degrees C). Line 2 large baking sheets with parchment paper.
Form dough into balls using a cookie scoop or tablespoon and roll each in powdered sugar. Place onto the prepared baking sheets, spacing 2 inches apart. Lightly smash each ball down using your hand.
Bake in the preheated oven until the middle of each cookie is just barely set, 11 to 12 minutes. Let cool on a wire rack completely before storing in an airtight container.","Total Fat 5g 7%, Saturated Fat 3g 16%, Cholesterol 31mg 10%, Sodium 106mg 5%, Total Carbohydrate 20g 7%, Dietary Fiber 0g 1%, Total Sugars 12g, Protein 2g, Vitamin C 1mg 4%, Calcium 27mg 2%, Iron 1mg 3%, Potassium 21mg 0%"
325,Orange Gelatin Salad,40 mins,7,"1 (11 ounce) can mandarin oranges, drained, 1 (8 ounce) can crushed pineapple, drained, 1 (6 ounce) package orange flavored Jell-O® mix, 16 ounces cottage cheese, 8 ounces frozen whipped topping, thawed","Combine oranges, pineapple, and gelatin mix in a mixing bowl. Mix well and chill for 30 minutes.
Add cottage cheese to the fruit mixture; stir to combine.
Gently fold in whipped topping; chill and serve.","Total Fat 8g 11%, Saturated Fat 7g 36%, Cholesterol 10mg 3%, Sodium 350mg 15%, Total Carbohydrate 41g 15%, Dietary Fiber 1g 2%, Total Sugars 35g, Protein 10g, Vitamin C 7mg 36%, Calcium 43mg 3%, Iron 0mg 2%, Potassium 93mg 2%"
326,Quick and Easy Chicken,45 mins,4,"2 tablespoons olive oil, 1  onion, chopped, 4  skinless, boneless chicken breast halves, 3 tablespoons ketchup, 3 tablespoons white sugar, 2 tablespoons soy sauce, 2 tablespoons lemon juice, 1 teaspoon ground black pepper","Warm oil in a large skillet over medium heat. Sauté onion in oil until translucent, 3 to 4 minutes.
Add chicken to onion in the skillet; cook until chicken is lightly browned, 1 to 2 minutes per side.
Combine ketchup, sugar, soy sauce, lemon juice, and pepper in a bowl; mix well. Pour over chicken; bring to a boil, then reduce heat.
Cover and simmer until chicken is no longer pink in the center and the juices run clear, 25 to 35 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).









","Total Fat 8g 11%, Saturated Fat 1g 7%, Cholesterol 68mg 23%, Sodium 655mg 28%, Total Carbohydrate 16g 6%, Dietary Fiber 1g 3%, Total Sugars 13g, Protein 28g, Vitamin C 9mg 44%, Calcium 26mg 2%, Iron 1mg 7%, Potassium 418mg 9%"
327,Parchment Baked Salmon,40 mins,2,"1 (8 ounce) salmon fillet,   salt and ground black pepper to taste, ¼ cup chopped basil leaves,   olive oil cooking spray, 1  lemon, thinly sliced","Preheat the oven to 400 degrees F (200 degrees C). Move an oven rack to the lowest position.
Place salmon fillet, skin-side down, in the middle of a large piece of parchment paper; season with salt and black pepper. Cut two 3-inch slits into fillet with a sharp knife. Stuff chopped basil leaves into the slits. Spray fillet with cooking spray and arrange lemon slices on top.
Fold the edges of parchment paper over fillet several times to seal it into an airtight packet. Place sealed packet onto a baking sheet.
Bake in the preheated oven on the bottom rack until salmon flakes easily and flesh is pink and opaque with an interior of slightly darker pink color, about 25 minutes. An instant-read thermometer inserted into the thickest part of fillet should read at least 145 degrees F (65 degrees C). To serve, cut open the parchment paper and remove lemon slices before plating.","Total Fat 7g 9%, Saturated Fat 1g 7%, Cholesterol 50mg 17%, Sodium 48mg 2%, Total Carbohydrate 6g 2%, Dietary Fiber 3g 10%, Protein 25g, Vitamin C 45mg 225%, Calcium 84mg 6%, Iron 1mg 7%, Potassium 495mg 11%"
328,Pan-Fried Shrimp,10 mins,4,"8 tablespoons butter, divided, 1 pound peeled and deveined bay shrimp, 1 tablespoon lemon juice, divided, 1 pinch garlic salt, or to taste,   salt and ground black pepper to taste","Melt 6 tablespoons butter in a large skillet over high heat. Add shrimp; cook and stir in hot butter until browned, about 2 minutes. Reduce heat to medium-low.
Stir in 1 1/2 teaspoons lemon juice, garlic salt, salt, and pepper; cook until heated through, about 1 minute. Remove from heat; stir in remaining 2 tablespoons butter and 1 1/2 teaspoons lemon juice.","Total Fat 24g 31%, Saturated Fat 15g 74%, Cholesterol 234mg 78%, Sodium 483mg 21%, Total Carbohydrate 0g 0%, Total Sugars 0g, Protein 19g, Vitamin C 4mg 19%, Calcium 42mg 3%, Iron 3mg 15%, Potassium 173mg 4%"
329,Chicken with Lemon-Caper Sauce,30 mins,2,"½ cup all-purpose flour, 1 pinch salt, 2 (6 ounce) skinless, boneless chicken breast halves, 2 tablespoons olive oil, ¼ cup dry white wine, ¼ cup lemon juice, ¼ cup cold unsalted butter, cut into pieces, 2 tablespoons capers, drained, 2  lemon wedges","Mix together flour and salt in a medium dish or resealable plastic bag. Coat chicken in flour mixture; shake off excess.
Heat olive oil in a skillet over medium-high heat. Cook chicken in hot oil until golden brown and cooked through, 3 to 4 minutes per side. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C). Transfer chicken to a plate; cover and keep warm.
Pour white wine into the skillet; allow to boil while scraping the cooked bits from the bottom of the pan. Add lemon juice; boil until reduced by half, 2 to 3 minutes.
Sprinkle cubed butter into boiling sauce. Swirl and shake the pan vigorously until butter is completely incorporated and sauce thickens. (Butter must never come to rest, or sauce will separate and become oily.) Remove from heat and stir in capers.
Pour lemon-caper sauce over chicken; serve with lemon wedges.","Total Fat 39g 50%, Saturated Fat 17g 86%, Cholesterol 160mg 53%, Sodium 372mg 16%, Total Carbohydrate 29g 11%, Dietary Fiber 2g 7%, Total Sugars 1g, Protein 43g, Vitamin C 27mg 134%, Calcium 47mg 4%, Iron 3mg 17%, Potassium 558mg 12%"
330,Butterflied Roast Chicken with Lemon and Rosemary,1 hrs,6,"1 tablespoon olive oil, or as needed, 1 (3 pound) whole chicken, backbone removed,   kosher salt and ground black pepper to taste, 1  lemon, sliced into rounds, 4 sprigs fresh rosemary, ½ cup white wine","Preheat the oven to 400 degrees F (200 degrees C). Line a rimmed baking pan with aluminum foil. Place a rack on top of foil.
Rub olive oil on both sides of chicken and generously season with salt and black pepper. Arrange lemon slices and rosemary on the rack and place chicken, skin-side up, onto the rack.
Roast in the preheated oven until no longer pink at the bone and the juices run clear, 45 to 55 minutes. An instant-read thermometer inserted into the thickest part of the thigh, near the bone should read 165 degrees F (74 degrees C).
Transfer chicken to a serving platter and tent a piece of aluminum foil over it. Discard lemon and rosemary and remove rack.
Pour wine into the baking pan and gently loosen the bits of food in the pan with a wooden spoon, being careful not to tear the foil. Strain pan juices into a saucepan and bring to a boil; cook until sauce is slightly reduced, about 5 minutes. Spoon sauce over chicken.","Total Fat 12g 15%, Saturated Fat 3g 15%, Cholesterol 114mg 38%, Sodium 178mg 8%, Total Carbohydrate 3g 1%, Dietary Fiber 1g 3%, Total Sugars 0g, Protein 37g, Vitamin C 14mg 70%, Calcium 34mg 3%, Iron 2mg 10%, Potassium 354mg 8%"
331,Honey Lemon Tea,10 mins,1,"1 cup water, 2 teaspoons honey, 1 teaspoon fresh lemon juice, 1 teaspoon white sugar, or to taste","Pour water into a mug. Add honey and heat in the microwave for 1 minute 30 seconds.
Stir in lemon juice, mixing until honey is dissolved. Stir in sugar.","Sodium 1mg 0%, Total Carbohydrate 17g 6%, Dietary Fiber 0g 0%, Total Sugars 17g, Protein 0g, Vitamin C 3mg 13%, Calcium 1mg 0%, Iron 0mg 1%, Potassium 15mg 0%"
332,Lemon Cream Cheese Frosting,15 mins,15,"1 (8 ounce) package cream cheese, softened, ¼ cup butter, 2 tablespoons lemon juice, 2 teaspoons lemon zest, 1 teaspoon vanilla extract, 5 cups confectioners' sugar","Beat cream cheese, butter, lemon juice, lemon zest, and vanilla together in a large bowl using an electric mixer until smooth and fluffy; gradually beat in confectioners' sugar, 1 cup at a time, until desired consistency is reached.","Total Fat 8g 11%, Saturated Fat 5g 26%, Cholesterol 25mg 8%, Sodium 67mg 3%, Total Carbohydrate 41g 15%, Total Sugars 39g, Protein 1g, Vitamin C 1mg 7%, Calcium 14mg 1%, Iron 0mg 1%, Potassium 23mg 0%"
334,Lemon-Orange Orange Roughy,15 mins,4,"1 tablespoon olive oil, 4 (4 ounce) fillets orange roughy, 1  orange, juiced, 1  lemon, juiced, ½ teaspoon lemon pepper","Heat oil in a large skillet over medium-high heat.
Place fillets into hot oil. Drizzle with orange juice and lemon juice, then sprinkle fillets with lemon pepper. Cook until fish flakes easily with a fork, 2 to 3 minutes per side. An instant-read thermometer inserted into the center should read at least 145 degrees F (63 degrees C).","Total Fat 4g 6%, Saturated Fat 1g 3%, Cholesterol 67mg 22%, Sodium 139mg 6%, Total Carbohydrate 8g 3%, Dietary Fiber 2g 8%, Total Sugars 4g, Protein 19g, Vitamin C 43mg 216%, Calcium 44mg 3%, Iron 1mg 8%, Potassium 303mg 6%"
335,Olive Oil Roasted Eggplant with Lemon,40 mins,4,"1  large eggplant, 3 tablespoons extra virgin olive oil,   salt and pepper to taste, 2 tablespoons fresh lemon juice","Preheat the oven to 400 degrees F (200 degrees C). Line a baking sheet with parchment paper or lightly grease.
Slice eggplant in half lengthwise, then cut each half into quarters lengthwise. Cut each piece in half to make two shorter quarters. Place eggplant skin-side down onto the prepared baking sheet. Brush with olive oil; season with salt and pepper.
Roast in the preheated oven until softened and golden brown, 25 to 30 minutes. Remove from the oven and sprinkle with lemon juice. Serve hot.









","Total Fat 10g 13%, Saturated Fat 2g 8%, Sodium 2mg 0%, Total Carbohydrate 7g 3%, Dietary Fiber 4g 14%, Total Sugars 3g, Protein 1g, Vitamin C 6mg 30%, Calcium 11mg 1%, Iron 0mg 2%, Potassium 273mg 6%"
